SECTOR,s1,s2,s3,s4,s5,s6,s7,s8,s9,t1,t2,t3,t4,t5
s1,0.0058274353,0.0015813934,7.3140477e-06,0.010896526,0.0,3.1668656e-05,0.0,4.4114433e-05,1.3556082e-06,0.0,5.4122065e-08,1.3138961e-05,4.78054e-06,0.00010348494
s2,1.7854468e-06,0.0020905922,0.0,0.00024257066,0.0,0.0,0.0,5.5338313e-07,0.0,0.0,0.0,0.0,1.18854224e-07,0.0
s3,0.00013271483,1.1330558e-05,0.014084645,0.020819267,0.054543633,0.081804015,0.0,0.0,0.00012304941,0.0,1.664785e-06,5.464738e-05,1.7950193e-05,1.2775879e-05
s4,0.17688839,0.18132472,0.06933318,0.1468816,0.033081338,0.21005309,0.015750472,0.1089158,0.039376296,0.005835608,0.007591605,0.030362213,0.036432352,0.052461848
s5,0.0026862698,0.0012180951,0.015783671,0.0075350106,0.145779,0.0023511848,0.0059712296,0.0068465094,0.0025214266,0.0015415637,0.0022841142,0.013082153,0.003431126,0.008810043
s6,0.010914404,3.766705e-07,0.036326654,0.001088002,0.0003737272,0.0,3.4043755e-06,0.012660328,0.0010751435,0.0,0.011609776,0.007864018,0.0045062588,0.0030214011
s7,0.017378699,0.02907763,0.0021546518,0.020817557,0.0011490878,0.039107036,0.010702308,0.008218382,0.0081901755,0.0007026624,0.00036821916,0.0034533201,0.002919055,0.0079952525
s8,0.0020437133,0.015929466,0.0,0.00697186,0.00010901197,0.0,0.00084386463,0.0005534944,0.0049538882,0.010218047,0.0039307857,0.058155302,0.02726017,0.010199092
s9,0.020901628,0.06807859,0.014346664,0.07926777,0.03873715,0.09679903,0.056950893,0.00859914,0.13188927,0.039029848,0.008428962,0.039369494,0.012582447,0.11227394
t1,0.021710334,0.017290387,0.012430982,0.010687382,0.017080225,0.060447905,0.09523046,0.008843762,0.048035376,0.12965351,0.015418075,0.085376225,0.0032141006,0.043611456
t2,0.0013310374,0.037427094,0.020184048,0.019071976,0.02600344,0.0565724,0.07964726,0.023342617,0.052970715,0.055199243,0.013038385,0.03600417,0.00901457,0.092263915
t3,0.0012978673,0.0049661347,0.001925455,0.0023547853,0.008482184,0.00021635545,0.00080767355,0.0,0.006343567,0.001124977,0.0002679128,0.0009740001,0.0008856808,0.0022549988
t4,0.0005266402,0.0006417027,0.029769609,0.0027822529,0.023266623,0.0,0.0004065554,0.0020766677,0.0010794394,0.0012781239,0.0069180494,0.019092314,0.096359216,0.0113302255
t5,0.00086940813,5.5387074e-05,0.03169275,0.00486649,0.013786742,0.000100829784,0.0004805981,0.00079518254,0.010838178,0.0029781945,0.0012162832,0.008612716,0.0076988135,0.011562522
