SECTOR,s1,s2,s3,s4,s5,s6,s7,s8,s9,t1,t2,t3,t4,t5
s1,0.08800209,0.0026149654,4.644823e-05,0.109781206,0.0,0.00029936014,0.0,0.001176838,2.9760065e-05,0.0,2.0588577e-06,0.00019572228,7.058184e-05,0.001883535
s2,1.6565393e-06,0.023325708,0.0,0.0018056276,0.0,0.0,0.0,1.0907164e-05,0.0,0.0,0.0,0.0,1.2965241e-06,0.0
s3,0.00011424549,9.824049e-06,0.04347424,0.042760544,0.13957348,0.1558912,0.0,0.0,0.0005521407,0.0,1.2944363e-05,0.0001663869,5.4169603e-05,4.7528913e-05
s4,0.14266783,0.14730021,0.060704757,0.28577548,0.05216925,0.23640391,0.034700386,0.37434226,0.11137214,0.026602618,0.037207253,0.0582713,0.06930192,0.12302182
s5,0.0020708551,0.0009458035,0.013208788,0.007030159,0.2242417,0.0020767266,0.01058659,0.018936459,0.005739045,0.005655243,0.009008726,0.019769622,0.0051257755,0.01662525
s6,0.008901886,3.0943056e-07,0.03216342,0.001422384,0.00063520955,0.0,7.993809e-06,0.04637656,0.0032410347,0.0,0.06064478,0.016085751,0.009135866,0.007551314
s7,0.01223684,0.020621995,0.0016469635,0.016983591,0.0009807982,0.031550005,0.011008811,0.016641999,0.013648223,0.0018872358,0.0010632651,0.0034897758,0.0029161293,0.0105630215
s8,0.0011537143,0.009057309,0.0,0.004560103,7.459795e-05,0.0,0.00063222775,0.00039820228,0.004407382,0.017591791,0.0072757425,0.04166907,0.019481398,0.007819231
s9,0.01323866,0.043430433,0.009864379,0.05817124,0.029741716,0.07024694,0.04840251,0.0135635445,0.10645979,0.0816536,0.01895869,0.031649727,0.010088865,0.10393117
t1,0.00950046,0.007620833,0.0059052515,0.0054187253,0.009060373,0.03030762,0.05530653,0.0064063594,0.031013431,0.072306044,0.021516312,0.04741997,0.0017805363,0.025918081
t2,0.00053089036,0.015035584,0.008739321,0.008813694,0.012572447,0.025853043,0.0421607,0.015412045,0.031171734,0.056763638,0.0066275126,0.018226933,0.0045516924,0.04997705
t3,0.0009555613,0.0036827002,0.0015389216,0.0020087566,0.008258503,0.0001825108,0.0011759476,0.0,0.012134891,0.0034685067,0.0008880719,0.0012025902,0.0010620315,0.0035760037
t4,0.0003887543,0.0004771058,0.023855535,0.0023796086,0.022915177,0.0,0.00059878104,0.0048704483,0.002083358,0.003975897,0.023136709,0.023426702,0.12035057,0.018130135
t5,0.000598238,3.8386486e-05,0.023673642,0.0038798407,0.0114996955,7.94935e-05,0.00053522806,0.0015128233,0.016968418,0.0075150984,0.0032996817,0.007991002,0.007061366,0.010919833
