SECTOR,s1,s2,s3,s4,s5,s6,s7,s8,s9,t1,t2,t3,t4,t5
s1,1.0,0.9412263865209576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s2,0.9278009977180199,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s3,0.8608343947080134,0.8670402127282318,1.0,0.9973953400603452,1.0,0.986306968532159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s4,0.8065415408720745,0.8123559577438545,0.8755512938729348,1.0,0.9776899205230134,0.9241005553020654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s5,0.770903588423754,0.77646108869361,0.8368640672443212,0.8931981011172915,0.9824541354567479,0.883268124511566,1.0,1.0,1.0,1.0,1.0,0.9784671896311065,0.9759180116572709,1.0
s6,0.8156089332189165,0.8214887175843378,0.8853945154542399,0.9449954071364245,0.9886814165014467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s7,0.7041286589666189,0.7092047738932877,0.7643757043743153,0.8158301382630713,0.8535449914690008,0.8067602867071123,0.8973549005133327,1.0,1.0,1.0,1.0,0.8937133001112363,0.8913849294885827,0.9562604490841174
s8,0.5645186627055141,0.568588318973089,0.6128203204670731,0.6540727078528944,0.6843097081863171,0.6468011667700166,0.7492051387430504,0.7194332768012524,0.8328922816865681,1.0,1.0,0.7165137089596079,0.7146469923397897,0.7666594208896308
s9,0.6333793951911839,0.63794547350831,0.6875729529969197,0.733857361110906,0.7677827107030583,0.7256988278374303,0.840594171638119,1.0,0.8071906986332801,1.0,1.0,0.8039149980481161,0.8018205768681549,0.860177550186694
t1,0.43760079311538186,0.44075548919196983,0.4750430339864728,0.5070208562101384,0.5304598250192851,0.5013841388520475,0.5807651448559916,0.7243930265514129,0.6456373316321223,0.5576867397315028,1.0,0.5554235635294359,0.5539765313455234,0.5942952692171549
t2,0.39885457212024844,0.4017299438599544,0.432981587420069,0.46212801677079124,0.4834916432138701,0.4569903878510207,0.529342809698277,0.6602535351801208,0.5884710578782937,0.8517476398361866,0.508307821768722,0.5062450326012669,0.5049261241083235,0.5416749444834683
t3,0.7362550123430823,0.7415627284975055,0.7992508705508373,0.8530529483038864,0.8924885675746618,0.8435692785451769,0.9771263115184471,1.0,1.0,1.0,1.0,0.9382973337900886,0.9320549787395701,0.9998904884469497
t4,0.7381781708852676,0.7434997512300742,0.8013385794469128,0.8552811926444526,0.8948198209906101,0.8457727507616801,0.979678645670727,1.0,1.0,1.0,1.0,0.9369305463864444,0.9407482434645035,1.0
t5,0.688097994050462,0.6930585427429928,0.7469734148483368,0.7972564026134088,0.8341126141969484,0.7883930413760605,0.9132143667858147,1.0,1.0,1.0,1.0,0.873366424206168,0.8710910628294483,0.8769251174931211
