SECTOR,s1,s2,s3,s4,s5,s6,s7,s8,s9,t1,t2,t3,t4,t5
s1,0.08800209,0.0026149647,4.644823e-05,0.109781206,0.0,0.00029936014,0.0,0.001176838,2.9760065e-05,0.0,2.0588577e-06,0.00019572228,7.058184e-05,0.001883535
s2,1.6565389e-06,0.023325708,0.0,0.0018056276,0.0,0.0,0.0,1.0907164e-05,0.0,0.0,0.0,0.0,1.2965241e-06,0.0
s3,0.000114245464,9.824046e-06,0.04347424,0.042760532,0.13957348,0.15589115,0.0,0.0,0.0005521407,0.0,1.2944363e-05,0.0001663869,5.4169603e-05,4.7528913e-05
s4,0.1426678,0.14730018,0.060704738,0.28577548,0.052169234,0.23640384,0.034700386,0.37434226,0.11137214,0.026602618,0.037207253,0.0582713,0.06930192,0.12302182
s5,0.0020708547,0.0009458032,0.013208784,0.007030157,0.2242419,0.002076726,0.01058659,0.018936459,0.005739045,0.005655243,0.009008726,0.019769616,0.005125774,0.01662525
s6,0.008901883,3.0943048e-07,0.03216341,0.0014223836,0.0006352094,0.0,7.993809e-06,0.04637656,0.0032410347,0.0,0.06064478,0.016085751,0.009135866,0.007551314
s7,0.012236836,0.020621989,0.0016469631,0.016983587,0.0009807979,0.031549998,0.011008821,0.016641999,0.013648223,0.0018872358,0.0010632651,0.003489775,0.0029161284,0.010563308
s8,0.001153714,0.009057306,0.0,0.0045601022,7.459793e-05,0.0,0.0006322276,0.00039820262,0.0044073807,0.017591791,0.0072757425,0.04166906,0.019481393,0.007819443
s9,0.013238657,0.04343042,0.009864376,0.058171224,0.029741708,0.07024693,0.048402496,0.0135635445,0.10645988,0.0816536,0.01895869,0.03164972,0.010088862,0.103934
t1,0.009500457,0.007620831,0.0059052496,0.005418724,0.009060371,0.030307613,0.055306517,0.0064063575,0.031013424,0.072306104,0.021516312,0.047419954,0.0017805358,0.025918785
t2,0.0005308902,0.01503558,0.008739319,0.008813692,0.012572443,0.025853036,0.04216069,0.015412041,0.031171724,0.056763623,0.006627518,0.018226929,0.004551691,0.04997841
t3,0.000955561,0.0036826993,0.0015389213,0.002008756,0.008258501,0.00018251076,0.0011759473,0.0,0.012134891,0.0034685067,0.0008880719,0.0012025912,0.0010620313,0.003576101
t4,0.0003887542,0.00047710567,0.02385553,0.0023796079,0.022915171,0.0,0.00059878087,0.0048704483,0.002083358,0.003975897,0.023136709,0.023426697,0.120350674,0.018130135
t5,0.00059822144,3.838542e-05,0.023672987,0.0038797332,0.011499377,7.94913e-05,0.0005352132,0.0015128233,0.016968418,0.0075150984,0.0032996817,0.00799078,0.0070611704,0.010919543
